id,dom_pv,ks_kpt,md_bct,md_ct,md_cvt,user_status
60,6,8,17,44,7,0
42,6,0,19,41,5,0
28,3,0,3,16,3,1
8,2,0,3,13,0,1
40,5,32,8,40,13,0
15,3,7,4,19,2,1
46,6,10,17,40,5,0
64,6,20,16,40,4,0
49,6,28,11,34,4,0
41,5,24,19,48,8,0
9,2,0,3,15,2,1
52,3,4,10,33,5,0
57,3,0,6,32,4,0
13,0,11,4,10,1,1
23,2,0,7,14,1,1
33,2,3,4,11,1,1
58,7,16,20,51,4,0
70,6,24,9,34,6,0
72,6,34,14,36,2,0
4,1,6,3,12,0,1
18,3,0,5,17,2,1
37,1,5,4,12,1,1
7,1,0,5,13,0,1
36,2,0,3,13,2,1
22,4,0,4,15,2,1
54,5,12,8,33,9,0
59,6,26,16,40,4,0
66,5,14,13,38,4,0
61,7,20,13,43,4,0
73,4,14,9,33,5,0
6,2,4,3,11,0,1
39,5,26,12,43,9,0
5,1,12,4,16,0,1
47,6,28,10,34,4,0
29,3,6,3,15,1,1
38,3,0,3,13,1,1
75,5,0,13,57,14,0
16,0,5,5,17,2,1
65,5,28,18,42,3,0
67,6,24,11,31,3,0
12,2,0,5,11,0,1
76,5,28,7,29,6,0
26,2,0,5,20,2,1
44,5,16,16,32,3,0
27,3,0,4,19,2,1
2,1,3,5,9,0,1
55,4,16,10,34,4,0
31,2,10,2,17,3,1
35,3,0,4,12,1,1
17,4,0,3,18,1,1
24,3,10,3,14,1,1
48,5,12,16,37,5,0
1,2,0,4,10,0,1
50,6,0,13,40,7,0
20,3,3,7,19,2,1
30,2,4,3,14,3,1
56,3,18,6,30,9,0
3,2,3,4,12,1,1
21,2,3,6,15,2,1
68,4,35,10,32,5,0
53,4,12,9,37,6,0
11,0,8,4,15,0,1
25,1,18,4,11,1,1
71,4,14,12,29,5,0
45,4,18,16,39,5,0
19,2,10,3,17,2,1
69,7,12,13,38,5,0
74,5,18,12,28,3,0
62,6,27,10,40,4,0
14,3,0,4,14,1,1
43,7,12,15,37,4,0
63,8,12,11,39,5,0
34,1,16,3,15,2,1
32,2,0,5,17,1,1
51,5,42,9,41,6,0
10,1,3,2,13,3,1
